	name	slug	salary_from	salary_to
42	Junior Configuration Engineer	https://spb.hh.ru/vacancy/48054348?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
43	Junior Data Analyst	https://spb.hh.ru/vacancy/47557931?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
44	Ведущий Data Scientist / RNA Lead	https://spb.hh.ru/vacancy/46213657?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
45	Младший программист С++ (вирусная лаборатория, внутренние сервисы)	https://spb.hh.ru/vacancy/47132071?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
46	Programming teacher (Roblox)	https://spb.hh.ru/vacancy/46197611?from=vacancy_search_list&query=Junior%20python%20developer	50000 руб.	з/п не указана
47	Junior разработчик Java Script (web разработчик)	https://spb.hh.ru/vacancy/47859048?from=vacancy_search_list&query=Junior%20python%20developer	30000 руб.	65000 руб.
48	Младший программист	https://spb.hh.ru/vacancy/45634053?from=vacancy_search_list&query=Junior%20python%20developer	90000 руб.	з/п не указана
49	Data Scientist / Machine Learning (remote)	https://spb.hh.ru/vacancy/47778685?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
50	Junior developer/Intern - Collaborative SLAM	https://spb.hh.ru/vacancy/47806573?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
51	Junior Devops Support (Санкт-Петербург)	https://spb.hh.ru/vacancy/44710845?from=vacancy_search_list&query=Junior%20python%20developer	40000 руб.	70000 руб.
52	Лингвист/Junior ML engineer	https://spb.hh.ru/vacancy/46916890?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
53	Системный администратор	https://spb.hh.ru/vacancy/46935963?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
